Point,Corner,Qcode,Icode,selQ,selI,Pass/Fail,Vout,Iout,Pout_h1,Vout_h1 mag,Vout_h1 phase,Idd_tran,Idd_avg,PDC,Pout_h1_W,PE
197,nom,160,128,0,0,,,,16.06,2.009,-98.76,,162.7e-3,195.3e-3,40.37e-3,20.67
198,nom,160,128,0,1,,,,15.9,1.973,-176.1,,162.6e-3,195.2e-3,38.94e-3,19.95
199,nom,160,128,1,0,,,,15.89,1.97,4.662,,163.6e-3,196.3e-3,38.8e-3,19.77
200,nom,160,128,1,1,,,,16.14,2.029,81.59,,165.1e-3,198.1e-3,41.15e-3,20.77
233,nom,192,128,0,0,,,,17.16,2.279,-102.9,,184.9e-3,221.9e-3,51.96e-3,23.41
234,nom,192,128,0,1,,,,16.8,2.187,-170,,184.2e-3,221e-3,47.85e-3,21.65
235,nom,192,128,1,0,,,,16.8,2.188,10.77,,185.8e-3,223e-3,47.85e-3,21.46
236,nom,192,128,1,1,,,,17.24,2.301,77.42,,188e-3,225.6e-3,52.96e-3,23.47
269,nom,224,128,0,0,,,,18.16,2.559,-106.1,,209e-3,250.8e-3,65.5e-3,26.11
270,nom,224,128,0,1,,,,17.65,2.411,-164.9,,207.7e-3,249.3e-3,58.15e-3,23.33
271,nom,224,128,1,0,,,,17.66,2.416,15.87,,210.2e-3,252.3e-3,58.37e-3,23.13
272,nom,224,128,1,1,,,,18.24,2.584,74.31,,213e-3,255.6e-3,66.75e-3,26.11
305,nom,255,128,0,0,,,,19.05,2.835,-108.3,,234.3e-3,281.1e-3,80.38e-3,28.59
306,nom,255,128,0,1,,,,18.41,2.632,-160.7,,232.9e-3,279.5e-3,69.28e-3,24.79
307,nom,255,128,1,0,,,,18.45,2.644,20.01,,236.2e-3,283.4e-3,69.93e-3,24.67
308,nom,255,128,1,1,,,,19.14,2.863,72.03,,239.3e-3,287.1e-3,81.95e-3,28.54
21,nom,0,160,0,0,,,,14.06,1.596,-46.27,,95.09e-3,114.1e-3,25.46e-3,22.31
22,nom,0,160,0,1,,,,14.14,1.61,133.7,,96.39e-3,115.7e-3,25.93e-3,22.42
23,nom,0,160,1,0,,,,14.06,1.596,-46.29,,95.09e-3,114.1e-3,25.46e-3,22.31
24,nom,0,160,1,1,,,,14.14,1.61,133.7,,96.38e-3,115.7e-3,25.93e-3,22.42
57,nom,32,160,0,0,,,,13.98,1.58,-57.41,,110.3e-3,132.4e-3,24.98e-3,18.87
58,nom,32,160,0,1,,,,14.44,1.668,144.3,,112.3e-3,134.7e-3,27.82e-3,20.64
59,nom,32,160,1,0,,,,14.36,1.652,-35.48,,111.1e-3,133.3e-3,27.3e-3,20.48
60,nom,32,160,1,1,,,,14.06,1.596,122.7,,111.6e-3,133.9e-3,25.48e-3,19.03
93,nom,64,160,0,0,,,,14.31,1.642,-68.26,,126.3e-3,151.6e-3,26.97e-3,17.79
94,nom,64,160,0,1,,,,14.91,1.76,154.2,,128.5e-3,154.3e-3,30.98e-3,20.09
95,nom,64,160,1,0,,,,14.84,1.745,-25.46,,127.5e-3,153.1e-3,30.46e-3,19.9
96,nom,64,160,1,1,,,,14.4,1.66,111.9,,127.8e-3,153.3e-3,27.55e-3,17.97
