Point,Corner,Qcode,Icode,Pass/Fail,Vout,Iout,Pout_h1,Vout_h1 mag,Vout_h1 phase,Idd_tran,Idd_avg,PDC,Pout_h1_W,PE
397,nom,198,0,,,,15.93,1.979,39.97,,124e-3,148.8e-3,39.17e-3,26.33
399,nom,199,0,,,,15.97,1.989,40,,124.7e-3,149.6e-3,39.55e-3,26.43
401,nom,200,0,,,,16.01,1.999,40.03,,125.5e-3,150.5e-3,39.94e-3,26.53
403,nom,201,0,,,,16.06,2.008,40.07,,126.2e-3,151.4e-3,40.34e-3,26.64
405,nom,202,0,,,,16.1,2.018,40.1,,127e-3,152.3e-3,40.73e-3,26.74
407,nom,203,0,,,,16.14,2.028,40.12,,127.7e-3,153.3e-3,41.13e-3,26.84
409,nom,204,0,,,,16.18,2.038,40.16,,128.5e-3,154.2e-3,41.53e-3,26.94
411,nom,205,0,,,,16.23,2.048,40.19,,129.2e-3,155.1e-3,41.93e-3,27.04
413,nom,206,0,,,,16.27,2.057,40.23,,130e-3,156e-3,42.33e-3,27.14
415,nom,207,0,,,,16.31,2.067,40.26,,130.7e-3,156.9e-3,42.73e-3,27.24
417,nom,208,0,,,,16.35,2.077,40.3,,131.5e-3,157.8e-3,43.14e-3,27.33
419,nom,209,0,,,,16.39,2.087,40.34,,132.3e-3,158.7e-3,43.54e-3,27.43
421,nom,210,0,,,,16.43,2.096,40.36,,133e-3,159.6e-3,43.95e-3,27.53
423,nom,211,0,,,,16.47,2.106,40.4,,133.8e-3,160.6e-3,44.36e-3,27.63
425,nom,212,0,,,,16.51,2.116,40.43,,134.6e-3,161.5e-3,44.77e-3,27.73
427,nom,213,0,,,,16.55,2.126,40.46,,135.3e-3,162.4e-3,45.18e-3,27.82
429,nom,214,0,,,,16.59,2.135,40.49,,136.1e-3,163.3e-3,45.6e-3,27.92
431,nom,215,0,,,,16.63,2.145,40.52,,136.9e-3,164.2e-3,46.02e-3,28.02
433,nom,216,0,,,,16.67,2.155,40.56,,137.7e-3,165.2e-3,46.43e-3,28.1
435,nom,217,0,,,,16.71,2.165,40.58,,138.4e-3,166.1e-3,46.85e-3,28.2
437,nom,218,0,,,,16.75,2.174,40.63,,139.2e-3,167.1e-3,47.27e-3,28.29
439,nom,219,0,,,,16.78,2.184,40.66,,140e-3,168e-3,47.7e-3,28.39
441,nom,220,0,,,,16.82,2.194,40.7,,140.8e-3,169e-3,48.12e-3,28.48
443,nom,221,0,,,,16.86,2.203,40.73,,141.6e-3,169.9e-3,48.55e-3,28.57
445,nom,222,0,,,,16.9,2.213,40.77,,142.4e-3,170.9e-3,48.98e-3,28.66
447,nom,223,0,,,,16.94,2.223,40.79,,143.2e-3,171.8e-3,49.41e-3,28.75
449,nom,224,0,,,,16.98,2.233,40.82,,144e-3,172.8e-3,49.84e-3,28.85
451,nom,225,0,,,,17.01,2.242,40.85,,144.8e-3,173.7e-3,50.28e-3,28.94
453,nom,226,0,,,,17.05,2.252,40.88,,145.6e-3,174.7e-3,50.71e-3,29.03
455,nom,227,0,,,,17.09,2.262,40.92,,146.4e-3,175.7e-3,51.15e-3,29.11
457,nom,228,0,,,,17.13,2.271,40.94,,147.2e-3,176.6e-3,51.59e-3,29.21
459,nom,229,0,,,,17.16,2.281,40.98,,148e-3,177.6e-3,52.03e-3,29.29
461,nom,230,0,,,,17.2,2.291,41.01,,148.8e-3,178.6e-3,52.47e-3,29.38
463,nom,231,0,,,,17.24,2.3,41.03,,149.6e-3,179.5e-3,52.92e-3,29.47
465,nom,232,0,,,,17.27,2.31,41.07,,150.5e-3,180.6e-3,53.36e-3,29.55
467,nom,233,0,,,,17.31,2.32,41.11,,151.3e-3,181.5e-3,53.81e-3,29.64
469,nom,234,0,,,,17.34,2.329,41.14,,152.1e-3,182.5e-3,54.26e-3,29.73
471,nom,235,0,,,,17.38,2.339,41.17,,152.9e-3,183.5e-3,54.71e-3,29.82
473,nom,236,0,,,,17.42,2.349,41.2,,153.7e-3,184.5e-3,55.16e-3,29.9
475,nom,237,0,,,,17.45,2.358,41.23,,154.5e-3,185.4e-3,55.61e-3,29.99
477,nom,238,0,,,,17.49,2.368,41.28,,155.4e-3,186.5e-3,56.06e-3,30.06
479,nom,239,0,,,,17.52,2.377,41.31,,156.2e-3,187.5e-3,56.52e-3,30.15
481,nom,240,0,,,,17.56,2.387,41.33,,157e-3,188.4e-3,56.98e-3,30.24
483,nom,241,0,,,,17.59,2.397,41.35,,157.8e-3,189.4e-3,57.45e-3,30.33
485,nom,242,0,,,,17.63,2.406,41.37,,158.7e-3,190.4e-3,57.91e-3,30.41
487,nom,243,0,,,,17.66,2.416,41.41,,159.5e-3,191.5e-3,58.37e-3,30.49
489,nom,244,0,,,,17.7,2.426,41.44,,160.4e-3,192.5e-3,58.83e-3,30.57
491,nom,245,0,,,,17.73,2.435,41.48,,161.3e-3,193.5e-3,59.3e-3,30.64
493,nom,246,0,,,,17.76,2.445,41.51,,162.1e-3,194.5e-3,59.77e-3,30.72
495,nom,247,0,,,,17.8,2.454,41.53,,162.9e-3,195.5e-3,60.24e-3,30.81
497,nom,248,0,,,,17.83,2.464,41.55,,163.8e-3,196.5e-3,60.71e-3,30.89
499,nom,249,0,,,,17.87,2.474,41.58,,164.6e-3,197.5e-3,61.18e-3,30.97
501,nom,250,0,,,,17.9,2.483,41.61,,165.5e-3,198.6e-3,61.66e-3,31.05
503,nom,251,0,,,,17.93,2.493,41.64,,166.3e-3,199.6e-3,62.13e-3,31.13
505,nom,252,0,,,,17.97,2.502,41.67,,167.2e-3,200.6e-3,62.61e-3,31.21
507,nom,253,0,,,,18,2.512,41.71,,168e-3,201.7e-3,63.09e-3,31.28
509,nom,254,0,,,,18.03,2.521,41.73,,168.9e-3,202.7e-3,63.56e-3,31.36
511,nom,255,0,,,,18.06,2.531,41.78,,169.8e-3,203.8e-3,64.04e-3,31.42
2,nom,0,255,,,,18.07,2.532,132.2,,169.3e-3,203.2e-3,64.09e-3,31.54
4,nom,1,255,,,,18.06,2.529,132,,169.7e-3,203.7e-3,63.94e-3,31.39
6,nom,2,255,,,,18.05,2.526,131.8,,170.2e-3,204.2e-3,63.83e-3,31.25
8,nom,3,255,,,,18.04,2.524,131.6,,170.6e-3,204.8e-3,63.71e-3,31.11
10,nom,4,255,,,,18.03,2.522,131.4,,171.1e-3,205.3e-3,63.6e-3,30.98
12,nom,5,255,,,,18.03,2.52,131.2,,171.5e-3,205.9e-3,63.5e-3,30.84
14,nom,6,255,,,,18.02,2.518,131,,172e-3,206.4e-3,63.39e-3,30.71
16,nom,7,255,,,,18.01,2.516,130.8,,172.5e-3,206.9e-3,63.28e-3,30.58
18,nom,8,255,,,,18.01,2.514,130.6,,172.9e-3,207.5e-3,63.18e-3,30.45
20,nom,9,255,,,,18,2.512,130.3,,173.3e-3,208e-3,63.08e-3,30.33
22,nom,10,255,,,,17.99,2.51,130.1,,173.8e-3,208.6e-3,62.98e-3,30.2
24,nom,11,255,,,,17.99,2.508,129.9,,174.3e-3,209.1e-3,62.89e-3,30.08
26,nom,12,255,,,,17.98,2.506,129.7,,174.7e-3,209.6e-3,62.8e-3,29.95
28,nom,13,255,,,,17.97,2.504,129.5,,175.2e-3,210.2e-3,62.71e-3,29.83
30,nom,14,255,,,,17.97,2.502,129.3,,175.6e-3,210.7e-3,62.62e-3,29.72
32,nom,15,255,,,,17.96,2.501,129.1,,176.1e-3,211.3e-3,62.54e-3,29.6
34,nom,16,255,,,,17.96,2.499,128.9,,176.5e-3,211.8e-3,62.46e-3,29.48
36,nom,17,255,,,,17.95,2.498,128.6,,177e-3,212.4e-3,62.38e-3,29.37
38,nom,18,255,,,,17.95,2.496,128.4,,177.5e-3,212.9e-3,62.31e-3,29.26
40,nom,19,255,,,,17.94,2.495,128.2,,177.9e-3,213.5e-3,62.23e-3,29.15
42,nom,20,255,,,,17.94,2.493,128,,178.4e-3,214.1e-3,62.16e-3,29.04
44,nom,21,255,,,,17.93,2.492,127.8,,178.8e-3,214.6e-3,62.09e-3,28.93
46,nom,22,255,,,,17.93,2.49,127.6,,179.3e-3,215.2e-3,62.02e-3,28.83
48,nom,23,255,,,,17.92,2.489,127.4,,179.8e-3,215.7e-3,61.96e-3,28.72
50,nom,24,255,,,,17.92,2.488,127.1,,180.2e-3,216.3e-3,61.9e-3,28.62
52,nom,25,255,,,,17.91,2.487,126.9,,180.7e-3,216.8e-3,61.84e-3,28.52
54,nom,26,255,,,,17.91,2.486,126.7,,181.2e-3,217.4e-3,61.79e-3,28.42
56,nom,27,255,,,,17.91,2.485,126.5,,181.6e-3,217.9e-3,61.73e-3,28.33
58,nom,28,255,,,,17.9,2.484,126.3,,182.1e-3,218.5e-3,61.68e-3,28.23
60,nom,29,255,,,,17.9,2.483,126.1,,182.6e-3,219.1e-3,61.63e-3,28.13
62,nom,30,255,,,,17.89,2.482,125.8,,183e-3,219.6e-3,61.59e-3,28.04
64,nom,31,255,,,,17.89,2.481,125.6,,183.5e-3,220.2e-3,61.55e-3,27.95
66,nom,32,255,,,,17.89,2.48,125.4,,184e-3,220.8e-3,61.51e-3,27.86
68,nom,33,255,,,,17.89,2.479,125.2,,184.4e-3,221.3e-3,61.47e-3,27.77
