Point,Corner,Qcode,Icode,selQ,selI,Pass/Fail,Vout,Iout,Pout_h1,Vout_h1 mag,Vout_h1 phase,Idd_tran,Idd_avg,PDC,Pout_h1_W,PE
144,nom,96,255,1,1,,,,18.05,2.525,-68.72,,214.7e-3,257.6e-3,63.77e-3,24.76
177,nom,128,255,0,0,,,,18.43,2.639,104.9,,235.7e-3,282.9e-3,69.62e-3,24.61
178,nom,128,255,0,1,,,,19.11,2.853,-23.02,,235.6e-3,282.7e-3,81.38e-3,28.78
179,nom,128,255,1,0,,,,19.14,2.864,156.8,,237.2e-3,284.7e-3,82.02e-3,28.81
180,nom,128,255,1,1,,,,18.39,2.628,-75.15,,233.4e-3,280.1e-3,69.05e-3,24.65
213,nom,160,255,0,0,,,,18.89,2.782,99.14,,256.6e-3,307.9e-3,77.39e-3,25.14
214,nom,160,255,0,1,,,,19.45,2.97,-17.59,,255.9e-3,307e-3,88.19e-3,28.72
215,nom,160,255,1,0,,,,19.48,2.978,162.2,,257e-3,308.4e-3,88.7e-3,28.77
216,nom,160,255,1,1,,,,18.85,2.771,-80.92,,254.1e-3,304.9e-3,76.76e-3,25.18
249,nom,192,255,0,0,,,,19.41,2.955,94.08,,279.4e-3,335.2e-3,87.31e-3,26.04
250,nom,192,255,0,1,,,,19.82,3.098,-12.52,,278.2e-3,333.9e-3,95.97e-3,28.75
251,nom,192,255,1,0,,,,19.84,3.104,167.2,,278.6e-3,334.3e-3,96.33e-3,28.81
252,nom,192,255,1,1,,,,19.38,2.944,-85.95,,276.5e-3,331.8e-3,86.66e-3,26.12
285,nom,224,255,0,0,,,,19.98,3.154,89.72,,304.1e-3,364.9e-3,99.46e-3,27.26
286,nom,224,255,0,1,,,,20.2,3.238,-7.877,,302.6e-3,363.1e-3,104.8e-3,28.87
287,nom,224,255,1,0,,,,20.2,3.238,171.8,,302.2e-3,362.6e-3,104.8e-3,28.91
288,nom,224,255,1,1,,,,19.94,3.141,-90.28,,300.8e-3,360.9e-3,98.65e-3,27.33
321,nom,255,255,0,0,,,,20.53,3.36,86.1,,330e-3,396e-3,112.9e-3,28.51
322,nom,255,255,0,1,,,,20.57,3.376,-3.752,,328.7e-3,394.4e-3,113.9e-3,28.89
323,nom,255,255,1,0,,,,20.56,3.373,175.9,,327.7e-3,393.3e-3,113.8e-3,28.93
324,nom,255,255,1,1,,,,20.49,3.348,-93.86,,326.4e-3,391.7e-3,112.1e-3,28.61

