Point,Corner,Qcode,Icode,Pass/Fail,Vout,Iout,Pout_h1,Vout_h1 mag,Vout_h1 phase,Idd_tran,Idd_avg,PDC,Pout_h1_W,PE
16,nom,7,255,,,,17.58,2.392,146.2,,221.7e-3,266e-3,57.22e-3,21.51
18,nom,8,255,,,,17.57,2.39,146,,222.1e-3,266.6e-3,57.13e-3,21.43
20,nom,9,255,,,,17.56,2.389,145.8,,222.6e-3,267.2e-3,57.05e-3,21.36
22,nom,10,255,,,,17.56,2.387,145.6,,223.1e-3,267.8e-3,56.98e-3,21.28
24,nom,11,255,,,,17.55,2.385,145.3,,223.6e-3,268.4e-3,56.9e-3,21.2
26,nom,12,255,,,,17.55,2.384,145.1,,224.1e-3,269e-3,56.83e-3,21.13
28,nom,13,255,,,,17.54,2.382,144.9,,224.7e-3,269.6e-3,56.76e-3,21.05
30,nom,14,255,,,,17.54,2.381,144.7,,225.2e-3,270.2e-3,56.69e-3,20.98
32,nom,15,255,,,,17.53,2.38,144.4,,225.7e-3,270.8e-3,56.63e-3,20.91
34,nom,16,255,,,,17.53,2.378,144.2,,226.2e-3,271.4e-3,56.56e-3,20.84
36,nom,17,255,,,,17.52,2.377,144,,226.7e-3,272e-3,56.5e-3,20.77
38,nom,18,255,,,,17.52,2.376,143.8,,227.2e-3,272.7e-3,56.44e-3,20.7
40,nom,19,255,,,,17.51,2.375,143.5,,227.7e-3,273.3e-3,56.39e-3,20.63
42,nom,20,255,,,,17.51,2.373,143.3,,228.3e-3,273.9e-3,56.33e-3,20.56
44,nom,21,255,,,,17.5,2.372,143.1,,228.8e-3,274.5e-3,56.28e-3,20.5
46,nom,22,255,,,,17.5,2.372,142.9,,229.3e-3,275.1e-3,56.24e-3,20.44
48,nom,23,255,,,,17.5,2.371,142.6,,229.8e-3,275.7e-3,56.2e-3,20.38
50,nom,24,255,,,,17.49,2.37,142.4,,230.3e-3,276.4e-3,56.15e-3,20.32
52,nom,25,255,,,,17.49,2.369,142.2,,230.9e-3,277.1e-3,56.11e-3,20.25
54,nom,26,255,,,,17.49,2.368,141.9,,231.4e-3,277.6e-3,56.07e-3,20.2
56,nom,27,255,,,,17.48,2.367,141.7,,231.9e-3,278.3e-3,56.04e-3,20.14
58,nom,28,255,,,,17.48,2.367,141.5,,232.4e-3,278.9e-3,56e-3,20.08
60,nom,29,255,,,,17.48,2.366,141.3,,233e-3,279.6e-3,55.97e-3,20.02
62,nom,30,255,,,,17.48,2.365,141,,233.5e-3,280.2e-3,55.95e-3,19.97
64,nom,31,255,,,,17.48,2.365,140.8,,234e-3,280.9e-3,55.92e-3,19.91
