Point,Corner,Qcode,Icode,Pass/Fail,Vout,Iout,Pout_h1,Vout_h1 mag,Vout_h1 phase,Idd_tran,Idd_avg,PDC,Pout_h1_W,PE
169,nom,84,0,,,,8.469,838.4e-3,-140,,49.7e-3,59.64e-3,7.03e-3,11.79
171,nom,85,0,,,,8.572,848.4e-3,-140,,50.25e-3,60.3e-3,7.198e-3,11.94
173,nom,86,0,,,,8.673,858.4e-3,-139.9,,50.79e-3,60.95e-3,7.368e-3,12.09
175,nom,87,0,,,,8.774,868.3e-3,-139.9,,51.34e-3,61.6e-3,7.54e-3,12.24
177,nom,88,0,,,,8.873,878.3e-3,-139.8,,51.88e-3,62.26e-3,7.714e-3,12.39
179,nom,89,0,,,,8.971,888.2e-3,-139.8,,52.43e-3,62.92e-3,7.89e-3,12.54
181,nom,90,0,,,,9.068,898.2e-3,-139.7,,52.98e-3,63.58e-3,8.068e-3,12.69
183,nom,91,0,,,,9.163,908.2e-3,-139.7,,53.53e-3,64.24e-3,8.248e-3,12.84
185,nom,92,0,,,,9.258,918.1e-3,-139.6,,54.08e-3,64.9e-3,8.43e-3,12.99
187,nom,93,0,,,,9.352,928.1e-3,-139.6,,54.63e-3,65.56e-3,8.613e-3,13.14
189,nom,94,0,,,,9.444,938e-3,-139.5,,55.19e-3,66.23e-3,8.799e-3,13.29
191,nom,95,0,,,,9.536,948e-3,-139.5,,55.74e-3,66.89e-3,8.987e-3,13.44
193,nom,96,0,,,,9.627,958e-3,-139.4,,56.3e-3,67.56e-3,9.177e-3,13.58
195,nom,97,0,,,,9.717,967.9e-3,-139.4,,56.86e-3,68.23e-3,9.368e-3,13.73
197,nom,98,0,,,,9.805,977.8e-3,-139.4,,57.42e-3,68.9e-3,9.562e-3,13.88
199,nom,99,0,,,,9.893,987.8e-3,-139.3,,57.98e-3,69.57e-3,9.757e-3,14.03
201,nom,100,0,,,,9.981,997.8e-3,-139.3,,58.54e-3,70.24e-3,9.955e-3,14.17
203,nom,101,0,,,,10.07,1.008,-139.2,,59.1e-3,70.92e-3,10.16e-3,14.32
205,nom,102,0,,,,10.15,1.018,-139.2,,59.66e-3,71.6e-3,10.36e-3,14.47
207,nom,103,0,,,,10.24,1.028,-139.1,,60.23e-3,72.27e-3,10.56e-3,14.61
209,nom,104,0,,,,10.32,1.038,-139.1,,60.8e-3,72.95e-3,10.77e-3,14.76
211,nom,105,0,,,,10.4,1.048,-139,,61.36e-3,73.64e-3,10.97e-3,14.9
213,nom,106,0,,,,10.49,1.057,-139,,61.93e-3,74.32e-3,11.18e-3,15.05
215,nom,107,0,,,,10.57,1.067,-138.9,,62.5e-3,75e-3,11.39e-3,15.19
217,nom,108,0,,,,10.65,1.077,-138.9,,63.07e-3,75.69e-3,11.61e-3,15.33
219,nom,109,0,,,,10.73,1.087,-138.8,,63.65e-3,76.37e-3,11.82e-3,15.48
221,nom,110,0,,,,10.81,1.097,-138.8,,64.22e-3,77.06e-3,12.04e-3,15.62
223,nom,111,0,,,,10.88,1.107,-138.8,,64.8e-3,77.76e-3,12.26e-3,15.76
225,nom,112,0,,,,10.96,1.117,-138.7,,65.38e-3,78.45e-3,12.48e-3,15.91
227,nom,113,0,,,,11.04,1.127,-138.7,,65.96e-3,79.15e-3,12.7e-3,16.05
229,nom,114,0,,,,11.11,1.137,-138.6,,66.54e-3,79.85e-3,12.93e-3,16.19
231,nom,115,0,,,,11.19,1.147,-138.6,,67.12e-3,80.54e-3,13.15e-3,16.33
233,nom,116,0,,,,11.27,1.157,-138.5,,67.7e-3,81.24e-3,13.38e-3,16.47
235,nom,117,0,,,,11.34,1.167,-138.5,,68.29e-3,81.95e-3,13.61e-3,16.61
237,nom,118,0,,,,11.41,1.177,-138.4,,68.88e-3,82.65e-3,13.85e-3,16.75
239,nom,119,0,,,,11.49,1.187,-138.4,,69.47e-3,83.36e-3,14.08e-3,16.89
241,nom,120,0,,,,11.56,1.197,-138.3,,70.06e-3,84.07e-3,14.32e-3,17.03
243,nom,121,0,,,,11.63,1.206,-138.3,,70.65e-3,84.77e-3,14.56e-3,17.17
245,nom,122,0,,,,11.7,1.216,-138.2,,71.24e-3,85.49e-3,14.8e-3,17.31
247,nom,123,0,,,,11.77,1.226,-138.2,,71.84e-3,86.2e-3,15.04e-3,17.45
249,nom,124,0,,,,11.84,1.236,-138.2,,72.43e-3,86.92e-3,15.28e-3,17.58
251,nom,125,0,,,,11.91,1.246,-138.1,,73.03e-3,87.64e-3,15.53e-3,17.72
253,nom,126,0,,,,11.98,1.256,-138.1,,73.63e-3,88.36e-3,15.78e-3,17.86
255,nom,127,0,,,,12.05,1.266,-138,,74.23e-3,89.08e-3,16.03e-3,17.99
257,nom,128,0,,,,12.12,1.276,-138,,74.83e-3,89.8e-3,16.28e-3,18.13
259,nom,129,0,,,,12.18,1.286,-137.9,,75.44e-3,90.53e-3,16.53e-3,18.26
261,nom,130,0,,,,12.25,1.296,-137.9,,76.04e-3,91.25e-3,16.79e-3,18.4
263,nom,131,0,,,,12.32,1.306,-137.9,,76.65e-3,91.98e-3,17.05e-3,18.53
265,nom,132,0,,,,12.38,1.315,-137.8,,77.26e-3,92.71e-3,17.31e-3,18.67
267,nom,133,0,,,,12.45,1.325,-137.8,,77.87e-3,93.44e-3,17.57e-3,18.8
269,nom,134,0,,,,12.51,1.335,-137.7,,78.48e-3,94.18e-3,17.83e-3,18.93
271,nom,135,0,,,,12.58,1.345,-137.7,,79.1e-3,94.92e-3,18.1e-3,19.07
273,nom,136,0,,,,12.64,1.355,-137.6,,79.71e-3,95.65e-3,18.36e-3,19.2
275,nom,137,0,,,,12.7,1.365,-137.6,,80.32e-3,96.39e-3,18.63e-3,19.33
277,nom,138,0,,,,12.77,1.375,-137.6,,80.94e-3,97.13e-3,18.91e-3,19.46
279,nom,139,0,,,,12.83,1.385,-137.5,,81.57e-3,97.88e-3,19.18e-3,19.59
281,nom,140,0,,,,12.89,1.395,-137.5,,82.19e-3,98.63e-3,19.45e-3,19.72
283,nom,141,0,,,,12.95,1.405,-137.4,,82.81e-3,99.37e-3,19.73e-3,19.85
285,nom,142,0,,,,13.01,1.415,-137.4,,83.44e-3,100.1e-3,20.01e-3,19.98
287,nom,143,0,,,,13.07,1.424,-137.3,,84.07e-3,100.9e-3,20.29e-3,20.11
289,nom,144,0,,,,13.13,1.434,-137.3,,84.7e-3,101.6e-3,20.57e-3,20.24
291,nom,145,0,,,,13.19,1.444,-137.2,,85.33e-3,102.4e-3,20.86e-3,20.37
293,nom,146,0,,,,13.25,1.454,-137.2,,85.96e-3,103.2e-3,21.14e-3,20.5
295,nom,147,0,,,,13.31,1.464,-137.2,,86.58e-3,103.9e-3,21.43e-3,20.63
297,nom,148,0,,,,13.37,1.474,-137.1,,87.23e-3,104.7e-3,21.72e-3,20.75
299,nom,149,0,,,,13.43,1.484,-137.1,,87.87e-3,105.4e-3,22.01e-3,20.88
301,nom,150,0,,,,13.48,1.493,-137,,88.5e-3,106.2e-3,22.3e-3,21
303,nom,151,0,,,,13.54,1.503,-137,,89.14e-3,107e-3,22.6e-3,21.13
305,nom,152,0,,,,13.6,1.513,-136.9,,89.79e-3,107.7e-3,22.9e-3,21.25
307,nom,153,0,,,,13.65,1.523,-136.9,,90.43e-3,108.5e-3,23.2e-3,21.38
309,nom,154,0,,,,13.71,1.533,-136.9,,91.07e-3,109.3e-3,23.5e-3,21.5
311,nom,155,0,,,,13.77,1.543,-136.8,,91.72e-3,110.1e-3,23.8e-3,21.63
313,nom,156,0,,,,13.82,1.553,-136.8,,92.37e-3,110.8e-3,24.11e-3,21.75
315,nom,157,0,,,,13.88,1.562,-136.7,,93.02e-3,111.6e-3,24.41e-3,21.87
317,nom,158,0,,,,13.93,1.572,-136.7,,93.67e-3,112.4e-3,24.72e-3,21.99
319,nom,159,0,,,,13.98,1.582,-136.7,,94.33e-3,113.2e-3,25.03e-3,22.11
321,nom,160,0,,,,14.04,1.592,-136.6,,94.98e-3,114e-3,25.34e-3,22.24
323,nom,161,0,,,,14.09,1.602,-136.6,,95.64e-3,114.8e-3,25.66e-3,22.36
